iter	Passed	Remaining
0	0	321
1	1	336
2	1	320
3	2	307
4	3	297
5	3	294
6	4	290
7	4	286
8	5	284
9	5	281
10	6	282
11	6	279
12	7	281
13	8	308
14	9	311
15	10	310
16	10	307
17	11	303
18	11	301
19	12	298
20	12	296
21	13	295
22	14	293
23	14	291
24	15	289
25	15	288
26	16	288
27	17	288
28	17	286
29	18	286
30	18	285
31	19	283
32	19	282
33	20	280
34	21	279
35	21	277
36	22	278
37	22	277
38	23	276
39	24	276
40	24	275
41	25	275
42	25	274
43	26	274
44	26	272
45	27	271
46	28	270
47	28	269
48	29	268
49	29	267
50	30	266
51	30	265
52	31	264
53	31	262
54	32	262
55	33	262
56	33	261
57	34	261
58	34	260
59	35	259
60	35	258
61	36	257
62	37	256
63	37	256
64	38	255
65	38	254
66	39	253
67	39	253
68	40	252
69	41	252
70	41	252
71	42	252
72	42	251
73	43	250
74	44	249
75	44	248
76	45	248
77	45	247
78	46	246
79	46	245
80	47	245
81	48	245
82	48	244
83	49	244
84	50	244
85	50	244
86	51	243
87	51	242
88	52	242
89	52	241
90	53	240
91	54	239
92	54	239
93	55	238
94	55	237
95	56	237
96	56	236
97	57	235
98	58	235
99	58	235
100	59	234
101	60	234
102	60	234
103	61	233
104	62	233
105	62	232
106	63	231
107	63	231
108	64	231
109	65	230
110	65	230
111	66	230
112	67	229
113	67	229
114	68	228
115	68	227
116	69	226
117	69	226
118	70	225
119	71	224
120	71	224
121	72	223
122	72	223
123	73	223
124	74	222
125	75	222
126	75	222
127	76	221
128	76	221
129	77	220
130	78	219
131	78	219
132	79	218
133	79	217
134	80	217
135	81	217
136	81	216
137	82	216
138	83	215
139	83	215
140	84	214
141	84	213
142	85	213
143	85	212
144	86	211
145	87	211
146	87	210
147	88	210
148	89	209
149	89	209
150	90	209
151	91	208
152	91	207
153	92	207
154	92	206
155	93	205
156	93	204
157	94	204
158	94	203
159	95	203
160	96	202
161	96	201
162	97	201
163	97	200
164	98	200
165	99	199
166	99	198
167	100	198
168	100	197
169	102	198
170	102	197
171	103	196
172	103	196
173	104	195
174	104	194
175	105	194
176	106	193
177	106	192
178	107	192
179	107	191
180	108	191
181	108	190
182	109	189
183	110	189
184	110	188
185	111	187
186	111	187
187	112	186
188	113	186
189	114	186
190	115	186
191	116	186
192	116	185
193	117	185
194	118	185
195	119	184
196	119	184
197	120	183
198	121	183
199	121	182
200	122	182
201	123	181
202	123	180
203	124	180
204	124	179
205	125	178
206	125	178
207	126	177
208	126	176
209	127	176
210	128	175
211	128	174
212	129	174
213	130	174
214	131	173
215	131	172
216	132	172
217	132	171
218	133	171
219	133	170
220	134	169
221	135	169
222	135	168
223	136	168
224	137	167
225	138	167
226	139	167
227	140	167
228	140	166
229	141	165
230	141	165
231	142	164
232	142	163
233	143	163
234	144	162
235	144	161
236	145	161
237	146	160
238	146	160
239	147	159
240	147	158
241	148	158
242	148	157
243	149	156
244	150	156
245	150	155
246	151	154
247	151	154
248	152	153
249	152	152
250	153	152
251	154	151
252	154	151
253	155	150
254	155	149
255	156	149
256	156	148
257	157	147
258	158	147
259	158	146
260	159	145
261	159	145
262	160	144
263	160	143
264	161	143
265	162	142
266	163	142
267	163	141
268	164	141
269	164	140
270	165	139
271	166	139
272	166	138
273	167	137
274	167	137
275	168	136
276	168	136
277	169	135
278	170	134
279	170	134
280	171	133
281	171	132
282	172	132
283	173	131
284	173	130
285	174	130
286	174	129
287	175	128
288	175	128
289	176	127
290	176	126
291	177	126
292	178	126
293	179	125
294	179	124
295	180	124
296	180	123
297	181	123
298	182	122
299	182	121
300	183	121
301	183	120
302	184	119
303	184	119
304	185	118
305	186	117
306	186	117
307	187	116
308	187	116
309	188	115
310	188	114
311	189	114
312	189	113
313	190	112
314	190	112
315	191	111
316	192	110
317	192	110
318	193	109
319	193	108
320	194	108
321	194	107
322	195	107
323	196	106
324	196	105
325	197	105
326	197	104
327	198	103
328	198	103
329	199	102
330	199	102
331	200	101
332	201	100
333	201	100
334	202	99
335	202	99
336	203	98
337	204	97
338	204	97
339	205	96
340	205	95
341	206	95
342	206	94
343	207	94
344	207	93
345	208	92
346	209	92
347	209	91
348	210	91
349	210	90
350	211	89
351	212	89
352	212	88
353	213	87
354	213	87
355	214	86
356	214	86
357	215	85
358	215	84
359	216	84
360	217	83
361	217	82
362	218	82
363	218	81
364	219	81
365	220	80
366	220	79
367	221	79
368	221	78
369	222	78
370	222	77
371	223	76
372	223	76
373	224	75
374	225	75
375	225	74
376	226	73
377	226	73
378	227	72
379	228	72
380	228	71
381	229	70
382	229	70
383	230	69
384	230	68
385	231	68
386	232	67
387	232	67
388	233	66
389	233	65
390	234	65
391	235	64
392	235	64
393	236	63
394	236	62
395	237	62
396	237	61
397	238	61
398	238	60
399	239	59
400	239	59
401	240	58
402	241	58
403	241	57
404	242	56
405	243	56
406	243	55
407	244	55
408	245	54
409	245	53
410	246	53
411	246	52
412	247	52
413	247	51
414	248	50
415	249	50
416	249	49
417	250	49
418	250	48
419	251	47
420	252	47
421	252	46
422	253	46
423	253	45
424	254	44
425	254	44
426	255	43
427	255	43
428	256	42
429	257	41
430	258	41
431	259	40
432	259	40
433	260	39
434	260	38
435	261	38
436	261	37
437	262	37
438	262	36
439	263	35
440	263	35
441	264	34
442	265	34
443	265	33
444	266	32
445	266	32
446	267	31
447	267	31
448	268	30
449	269	29
450	269	29
451	270	28
452	270	28
453	271	27
454	271	26
455	272	26
456	272	25
457	273	25
458	273	24
459	274	23
460	275	23
461	275	22
462	276	22
463	277	21
464	277	20
465	278	20
466	278	19
467	279	19
468	279	18
469	280	17
470	280	17
471	281	16
472	282	16
473	282	15
474	283	14
475	284	14
476	284	13
477	285	13
478	285	12
479	286	11
480	286	11
481	287	10
482	288	10
483	288	9
484	289	8
485	289	8
486	290	7
487	290	7
488	291	6
489	292	5
490	292	5
491	293	4
492	293	4
493	294	3
494	294	2
495	295	2
496	296	1
497	296	1
498	297	0
499	297	0
